P(C1CCCCC1)(C2CCCCC2)C3CCCCC3
C1(PC2=CC=CC=C2)=CC=CC=C1
P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
P(CCCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
P(CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
COC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C1
CCP(CC)CC
CCCCCCCCP(CCCCCCCC)CCCCCCCC
CCCCCCP(CCCCCC)CCCCCC
P(CCCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4
N#CCCP(CCC#N)CCC#N
CCCCP(C12CC3CC(C2)CC(C3)C1)C45CC6CC(C5)CC(C6)C4
OCCCP(CCCO)CCCO
FC1=C(F)C(F)=C(F)C(F)=C1P(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F
CCP(CC)C1=CC=CC=C1
CC(P(CC1=CC=CC=C1CP(C(C)(C)C)C(C)(C)C)C(C)(C)C)(C)C
P(CCNCCP(C12CC3CC(C2)CC(C3)C1)C45CC6CC(C5)CC(C6)C4)(C78CC9CC(C8)CC(C9)C7)C%10%11CC%12CC(C%11)CC(C%12)C%10
CP(C)C1=CC=CC=C1
P(C12CC3CC(C2)CC(C3)C1)(C45CC6CC(C5)CC(C6)C4)C78CC9CC(C8)CC(C9)C7
P(CCP(C1=CC=CC=C1)C2=CC=CC=C2)(CCP(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5
CCCC[P+](CCCC)(CCCC)CCCC.C1(C=CC=C2)=C2[N-]N=N1
ClP(C1CCCCC1)C2CCCCC2
C12CC3(PC45CC6CC(C5)CC(C6)C4)CC(C2)CC(C3)C1
P(CCCCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4
CC(P(C1CCCCC1)C2CCCCC2)(C)C
CC(P(C1=CC=CC=C1C2=CC=CC=C2)C(C)(C)C)(C)C
CC(P(C(C)C)C(C)C)C
P(CP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4
ClP(C1=CC=CC=C1)C2=CC=CC=C2
P(C1=C2C=CC=CC2=CC=C1)(C3=C4C=CC=CC4=CC=C3)C5=C6C=CC=CC6=CC=C5
P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C
CCCCP(C12CC3CC(C2)CC(C3)C1)C45CC6CC(C5)CC(C6)C4.[H]I
NCCP(C1=CC=CC=C1)C2=CC=CC=C2
CC1=CC=C(P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3)C=C1
CCP(CCP(CC)CC)CC
P(CCNCCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4
C1(PC2CCCCC2)CCCCC1
CCCC[P+](CCCC)(CCCCCCCCCCCCCCCC)CCCC.[Br-]
CC(PC(C)C)C
CCCC[P+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F
S=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
P(C1=CC=CC=C1)(CC2=CC=CC=C2)C3=CC=CC=C3
P(C1=CC=CS1)(C2=CC=CS2)C3=CC=CS3
CCCCCCCCCCP(O)(O)=O
BrP(C1=CC=CC=C1)(C2=CC=CC=C2)(Br)C3=CC=CC=C3
P(C#CP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
COC1=C(C2=C(OC)C=C(OC)C=C2P(C3=CC(C)=CC(C)=C3)C4=CC(C)=CC(C)=C4)C(P(C5=CC(C)=CC(C)=C5)C6=CC(C)=CC(C)=C6)=CC(OC)=C1
CC(P(C(C)(C)C)C(C)(C)C)(C)C
CC(CP(C1=CC=CC=C1)C2=CC=CC=C2)(CP(C3=CC=CC=C3)C4=CC=CC=C4)CP(C5=CC=CC=C5)C6=CC=CC=C6
CC(C)[C@@H](N)CP(C1=CC=CC=C1)C2=CC=CC=C2
N[C@H](C1=CC=CC=C1)[C@H](P(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4
C[C@H](N)[C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=CC=C3
CCCCCCCCP(CCCCCCCC)(CCCCCCCC)=O
CC(P(CCNCCP(C(C)(C)C)C(C)(C)C)C(C)(C)C)(C)C
P(C1CCCC1)(C2CCCC2)C3CCCC3
COC1=[C@]([C@]2=C(OC)C(Cl)=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C1Cl
CC1=CC(P(C2=CC=C3C=CC=CC3=[C@]2[C@]4=C5C=CC=CC5=CC=C4P(C6=CC(C)=CC(C)=C6)C7=CC(C)=CC(C)=C7)C8=CC(C)=CC(C)=C8)=CC(C)=C1
CC1=C(P(C2=C(C)C=C(C)C=C2C)C3=C(C)C=C(C)C=C3C)C(C)=CC(C)=C1
O=C(C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=CC4=C1C=CC=C4)N[C@@H]5[C@@H](NC(C6=C(C=CC=C7)C7=CC=C6P(C8=CC=CC=C8)C9=CC=CC=C9)=O)CCCC5
C[C@@H](NC1=NN=[C@@]([C@@]2=C3C=CC=CC3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)C6=C1C=CC=C6)C7=CC=CC=C7
COC1=[C@]([C@]2=C(OC)C=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C1
C[C@@H](NC1=NN=[C@]([C@]2=C3C=CC=CC3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)C6=C1C=CC=C6)C7=CC=CC=C7
C1(C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1P(C5=CC=CC=C5)C6=CC=CC=C6
N[C@H](C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)C
CC(P(CCCCP(C(C)(C)C)C(C)(C)C)C(C)(C)C)(C)C
COC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC)=CC(OC)=C1
COC1=[C@@]([C@@]2=C(OC)C=CC=C2P(C3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4)C(P(C5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5)C6=CC(C(C)(C)C)=CC(C(C)(C)C)=C6)=CC=C1
COC1=[C@]([C@]2=C(OC)C=CC=C2P(C3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4)C(P(C5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5)C6=CC(C(C)(C)C)=CC(C(C)(C)C)=C6)=CC=C1
CN(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(N(C)C)=CC=C1)C
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2
CC([C@H]1CC[C@H](C(C)C)P1C2=CC=CC=C2P3[C@@H](C(C)C)CC[C@@H]3C(C)C)C
CCCCCCCCP(OCC)(OCC)=O
O=C(N[C@H](C1=CC=CC=C1)[C@H](NC(C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=O)C5=CC=CC=C5)C6=CC=CC=C6P(C7=CC=CC=C7)C8=CC=CC=C8
[O-]P(C1=C(C2=CC=C(C(C)(C)C)C=C2C(C)(C)C)C(C3=CC=C(C(C)(C)C)C=C3C(C)(C)C)=C(C4=CC=C(P([O-])[O-])C=C4)C(C5=CC=C(C(C)(C)C)C=C5C(C)(C)C)=C1C6=CC=C(C(C)(C)C)C=C6C(C)(C)C)[O-]
CC1=CC(P(C2=CC(C)=CC(C)=C2)C3=C(C=C4)CCC(C=C5)=CC(P(C6=CC(C)=CC(C)=C6)C7=CC(C)=CC(C)=C7)=C5CCC4=C3)=CC(C)=C1
N1(CC2=CC=CC=C2)C[C@H](P(C3=CC=CC=C3)C4=CC=CC=C4)[C@@H](P(C5=CC=CC=C5)C6=CC=CC=C6)C1
[H]C1([H])C([H])([H])C2=C([H])C(P(C3=C([H])C([H])=C([H])C([H])=C3[H])C4=C([H])C([H])=C([H])C([H])=C4[H])=C(C([H])=C2[H])C([H])([H])C([H])([H])C5=C([H])C(P(C6=C([H])C([H])=C([H])C([H])=C6[H])C7=C([H])C([H])=C([H])C([H])=C7[H])=C1C([H])=C5[H]
O=P(OCC1=CC=CC=C1)(OP(OCC2=CC=CC=C2)(OCC3=CC=CC=C3)=O)OCC4=CC=CC=C4
CC(N(C(C)C)P(OCCCCCCNC(C1=CC=CC=C1)(C2=CC=C(OC)C=C2)C3=CC=CC=C3)OCCC#N)C
C12=[C@@]([C@@]3=C4OCOC4=CC=C3P(C5=CC=CC=C5)C6=CC=CC=C6)C(P(C7=CC=CC=C7)C8=CC=CC=C8)=CC=C1OCO2
C[C@@H](OP1OC2=C(C(C)(C)C)C=C(OC)C=C2C3=CC(OC)=CC(C(C)(C)C)=C3O1)C[C@H](OP4OC5=C(C(C)(C)C)C=C(OC)C=C5C6=CC(OC)=CC(C(C)(C)C)=C6O4)C
N[C@@H]1[C@@H](N(CC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)CC5=CC=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)CCCC1
ClP(C(C)(C)C)C(C)(C)C
O=S(CCCP(C(C)(C)C)C(C)(C)C)([O-])=O
ClP(C1CCCCC1)Cl
ClP(C12CC3CC(C2)CC(C3)C1)C45CC6CC(C5)CC(C6)C4
CC(P(Cl)C(C)C)C
CCCCCCCCCCCCSP(SCCCCCCCCCCCC)SCCCCCCCCCCCC
ClP(C1=CC=CC=C1)(C2=CC=CC=C2)(Cl)C3=CC=CC=C3
SP(C1=CC=CC=C1)(C2=CC=CC=C2)=S
ClP(C1=CC=CC=C1P(Cl)Cl)Cl
OP(CCCCCCCCCCC=S)(O)=O
O=C(CCP(=O)(O)C1C=CC=CC=1)O
O=C1OC(C(O)CO)C(O)=C1OP(=O)(O)O
[NH+](CC(O)=O)(CP(O)(O)=O)CP(O)(=O)[O-]
OC(P(O)(O)=O)(P(O)(O)=O)CN1C=NC=C1
C(CCCCP(=O)(O)O)P(=O)(O)O
P(OCCCl)(OCCCl)(OCCCl)=O
P(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1
C1(C2=C3C(C=CC=C3)=CC=C2P(C2=CC=C(C)C=C2)C2=CC=C(C)C=C2)=C2C(C=CC=C2)=CC=C1P(C1=CC=C(C)C=C1)C1=CC=C(C)C=C1
P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1C=NC1CCCCC1
C1(C2=C(OC(C)C)C=CC=C2OC(C)C)=CC=CC=C1P(C1CCCCC1)C1CCCCC1
C1(C(OC2C(P(C3CCCCC3)C3CCCCC3)=CC=CC=2)=CC=CC=1)P(C1CCCCC1)C1CCCCC1
P(=S)(OC1=C(Cl)C=C(C)C=C1Cl)(OC)OC
P(C1CCCCC1)(C1CCCCC1)C1C=CC=CC=1P(C1CCCCC1)C1CCCCC1
C(N(CP(O)(O)=O)CP(O)(O)=O)P(O)(O)=O
C1(C2=CC=CC=C2N(C)C)=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1
P(C1=CC=CC=C1)(C1C=CC=CC=1)CCP(C1C=CC=CC=1)C1C=CC=CC=1
P(=O)(OCCCCCC)(OCCCCCC)CC(=O)N(CC)CC
P(CCCCCP(C1C=CC=CC=1)C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1
CC(C1C=C(C(C)C)C(C2C(P(C(C)(C)C)C(C)(C)C)=C(C)C(C)=C(C)C=2C)=C(C(C)C)C=1)C
P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)N(C)C
C(=CP(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1
CCCCc1c(F)c(F)c(-c2c(C(C)C)cc(C(C)C)c(-c3cccc(OC)c3P(C34CC5CC(CC(C5)C3)C4)C34CC5CC(CC(C5)C3)C4)c2C(C)C)c(F)c1F
P(CCCCCCP(C1C=CC=CC=1)C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1
c1ccc(P(CCOCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
COC1C=CC(OC)=C(P(C(C)(C)C)C(C)(C)C)C=1C1C(C(C)C)=CC(C(C)C)=CC=1C(C)C
CC(C)(C)P(C(C)(C)C)C1C(N2C(C3C=CC=CC=3)=CC(C3C=CC=CC=3)=N2)=CC=CC=1
P(C1C=CC(=CC=1)OC)(C1C=CC(=CC=1)OC)C1C=CC(=CC=1)OC
CC1(C2C=CC=C(P(C(C)(C)C)C(C)(C)C)C=2OC2C(=CC=CC1=2)P(C(C)(C)C)C(C)(C)C)C
c1ccc(P(Nc2ccc3ccccc3c2-c2c(NP(c3ccccc3)c3ccccc3)ccc3ccccc23)c2ccccc2)cc1
C1(C2=CC=CC=C2C)=CC=CC=C1P(C1CCCCC1)C1CCCCC1
C1C=C2C(C=CC=C2)=C(C=1P(C1C=CC=CC=1)C1C=CC=CC=1)C(N[C@H]1[C@H](NC(=O)C2C3=CC=CC=C3C=CC=2P(C2C=CC=CC=2)C2C=CC=CC=2)CCCC1)=O
C1(P(C2C=CC=CC=2)C2C(OC3C(P(C4C=CC=CC=4)C4C=CC=CC=4)=CC=CC=3)=CC=CC=2)C=CC=CC=1
CC(C)(C)P(C(C)(C)C)C1N(C2C(C3C=CC=CC=3)=NN(C3C=CC=CC=3)C=2C2C=CC=CC=2)N=CC=1
P(N(CCCC)CCCC)(N(CCCC)CCCC)N(CCCC)CCCC
